Slovak,Ukrainian
otázok,запитання
účet,рахунок
zákon,закон
vstávaj,встати
rob,робити
abby,Еббі
plány,плани
nik,ніхто
poznal,знав
nehoda,нещасний випадок
drink,напій
ničoho,нічого
dopekla,пекло
pohni,рухатися
stretla,вона зустріла
chytiť,зловити
nebudete,ти не будеш
zmizol,зникла
dáte,ви дасте
dokázať,довести
whoa,ой
nefunguje,це не працює
cítila,вона відчувала
píše,пише
žiadnom,немає
sľúbil,він пообіцяв
stav,хвороба
lee,Лі
školu,школа
jednou,один раз
duch,привид
otvorené,ВІДЧИНЕНО
prsteň,кільце
priateľom,друзі
minúty,хвилин
zeme,землі
povedzme,скажімо так
otče,батько
zvládnem,Я з цим впораюся
slnko,сонце
otvorte,відкрийте його
nechoď,не йди
akým,який
rose,роса
začneme,давайте почнемо
naňho,на нього
ukázal,він показав
obe,обидва
doteraz,дотепер
chrániť,захищати
potrebné,необхідно
eddie,Едді
miloval,любив
sila,сила
veríš,ти віриш
zastav,СТІЙ
mark,знак
program,програма
kancelárii,офіс
odchádzam,Я йду
vyzerám,я дивлюсь
iná,інший
niečom,щось
nájde,знайде
chalan,хлопець
akurát,точно
utiecť,тікати
bojíš,ти боїшся
dovoľte,дозвольте мені
zabudnúť,забувати
l,л
ray,Рей
debil,дебіл
dôvodu,причина
tehotná,вагітна
stratiť,втратити
adresu,адресу
záznam,запис
let,років
vzhľadom,зовнішній вигляд
raňajky,сніданок
množstvo,кількість
perfektné,ідеальний
zistili,вони дізналися
billy,Біллі
chrbát,спина
voči,назустріч
odišli,вони пішли
teta,тітка
býva,це буває
spojenie,підключення
liek,ліки
hľadal,шукав
hrdina,герой
stáva,стає
zohnať,отримати
snažíš,ви спробуйте
postarať,піклуватися про
skončiť,закінчити
mladá,молодий
anna,Анна
sexy,сексуальний
vojnu,війни
dávam,Я даю
izba,кімната
nebojte,не хвилюйся
všetkými,всіма
tvojím,твоя
nemusím,я не повинен
spoločne,разом
hrá,грає
pripravte,підготувати
zadku,дупа
hajzel,привіт
unavený,втомився
dostanete,ви отримаєте
piť,пити
vojne,війни
obavy,побоювання
čítať,читати
činu,діяти
doriti,doritos
takého,такий
obchodu,торгівля
poslednú,останній
skupina,група
hádať,здогадуватися
dalo,дав
pláne,рівнини
vyhrať,виграти
zima,зима
zvieratá,тварини
pokojne,спокійно
metrov,метрів
šou,шоу
zvuk,звук
budovy,будівлі
riaditeľ,директор
castle,замок
sily,сили
hľadá,шукаєш
vyriešiť,вирішити
vypadnúť,випадати
policajti,поліцейські
sestry,сестри
kód,код
čísla,числа
škola,школа
neustále,постійно
strašné,жахливий
čisté,чистий
klamať,брехати
dušu,душа
tentokrát,цього разу
dopredu,вперед
páčilo,сподобалось
ozaj,дійсно
žil,він жив
mam,я маю
výsledky,результати
nájdi,знайти
rovnaký,те саме
vláda,уряд
vojak,солдат
obraz,зображення
momentálne,на даний момент
tvojim,твоя
kniha,книга
stole,стіл
radu,поради
sedí,сидить
zuby,зуби
rúk,руками
kamery,камери
kontrolu,КОНТРОЛЬ
použil,використовується
vzduch,повітря
parku,парк
preložil,перекладено
dovoľ,дозволяють
mene,мене
hudbu,музика
vypadnite,вийти
rady,поради
došlo,сталося
milá,дорогий
y,р
navštíviť,відвідати
snažiť,спробувати
vyzerajú,вони виглядають
myseľ,розум
pýtal,запитав він
pokračujte,продовжувати
majster,майстер
odteraz,відтепер
touto,цим
neprišiel,він не прийшов
postaviť,будувати
synak,син
manželka,дружина
johnny,Джонні
výlet,поїздка
rachel,Рейчел
čítal,він читав
nôž,ніж
hral,грав
podobné,подібні
takí,такий
not,примітка
sny,мрії
šlo,це спрацювало
jazyk,мова
nejdem,я не йду
úlohu,завдання
preco,чому
mcgee,mcgee
zostal,він залишився
víno,вино
ktorou,який
sračky,лайно
poďakovať,дякувати
zviera,тварина
mŕtvych,мертві
strednej,вторинний
nedávno,недавно
nieco,щось
ruke,руками
pomocou,за допомогою
steve,Стів
hľadáme,ми шукаємо
de,de
krku,шия
clark,Кларк
zastavte,СТІЙ
dáma,леді
minútu,хвилину
chlapov,хлопці
volajú,вони дзвонять
hladný,голодний
inde,в іншому місці
stave,хвороба
drží,тримає
pravý,правильний
pokus,спроба
zostaňte,залишитися
daniel,лань
časom,з часом
nájdeš,ви знайдете
učiť,навчати
verte,вірити
energie,енергії
dôstojník,офіцер
ehm,гм
mamou,мама
nedáva,не дає
nos,ніс
ruka,руку
niečoho,щось
that,що
jedla,вона їла
ústa,рот
max,макс
oblečenie,одяг
zostane,залишиться
fér,ярмарок
rozprával,він говорив
svojimi,зі своїми
špeciálne,спеціальні
žiadam,Я прошу
vrátime,ми повернемося
skontrolovať,перевірити
priveľa,занадто багато
kontakt,контакт
dozadu,задом наперед
hlboko,глибоко
nepoviem,не скажу
sotva,ледве
právnik,адвокат
žien,жінки
adam,Адам
odvtedy,відтоді
rozhodla,вирішила вона
časy,разів
tvrdí,він стверджує
rozprávaš,ви говорите
hocičo,що завгодно
zač,почати
zaujímalo,це було цікаво
spomínam,Я пам'ятаю
poslala,вона послала
bezpečné,безпечний
nevyzerá,не схоже на це
nevedia,вони не знають
zasa,знову
služby,послуги
vráťte,повернути його
predať,продавати
dokončiť,закінчити
správny,правильно
tímu,команда
polovicu,половина
martin,Мартін
ahojte,привіт
minulosť,минуле
pripravené,готовий
počujete,ви чуєте
nosiť,знос
opustil,він пішов
díky,дякую
požiadať,просити
starať,піклуватися про
prvom,перший
kráľovná,королева
získal,придбаний
osobné,особистий
myšlienky,думки
mäso,м'ясо
úprimný,щирий
vrátili,повернувся
ospravedlňte,вибач мене
zastavil,зупинився
trvá,триває
očami,очі
vražda,вбивство
isto,впевнений
priniesť,приносити
krásny,красива
piatok,П'ятниця
prvej,перший
majte,мати
zmení,зміниться
nepamätám,Я не пам'ятаю
čakám,я чекаю
spoznávam,Я впізнаю
okno,вікно
york,йорк
hudba,музика
nezabudni,не забудь
tancovať,танцювати
niečím,щось
spomienky,спогади
bál,він боявся
zavri,заткнись
urobte,зробити це
takýto,як це
rozhodli,вони вирішили
radosť,радість
úžasná,чудовий
začínam,Я починаю
rozumiete,ти розумієш
robert,Роберт
starého,старий
kráľa,король
dan,день
situácia,ситуація
hlupák,дурень
tlak,тиск
zločin,злочинність
dňami,днів
možnosti,параметри
zadarmo,безкоштовно
pozrel,подивився
volali,вони дзвонили
veciach,речі
vraha,вбивця
ták,так
každej,кожен
vaši,твоя
čistý,чистий
zoberiem,Я візьму його
prišlo,воно прийшло
kitty,кошеня
usa,США
starých,старі
zodpovednosť,відповідальність
každopádne,все одно
muselo,довелося
povedané,сказав
hlavou,голова
boja,боротися
chlapcov,хлопці
mesiacmi,місяців
stop,СТІЙ
lily,лілії
prežiť,вижити
al,al
bezpečnosť,безпеки
spravíme,ми зробимо
veril,він вірив
ctihodnosť,респектабельність
avšak,проте
zistila,вона дізналася
nechceme,ми не хочемо
práva,прав
vlak,поїзд
vrátiš,ти повертаєшся
hrdý,гордий
sledoval,дивився
necítim,я не відчуваю
palube,на борту
celého,ціле
prajem,бажаю
zobrali,вони взяли
svadbu,весілля
moj,моя
bratia,брати
hotovo,зроблено
pýtam,я запитую
ukľudni,заспокойся
san,мрія
nikde,ніде
stroj,машина
prešli,вони пройшли
eric,Ерік
oko,око
väčšinou,в основному
dobrí,хороші
matkou,мати
kontrolou,КОНТРОЛЬ
tvrdo,важко
pracuješ,ви працюєте
malého,маленький
napísať,писати
prvú,перший
týmito,цими
bežte,бігати
myslíme,ми думаємо
milióny,мільйони
každému,кожному
sprav,адмін
pochopil,зрозумів
zbláznil,він збожеволів
bare,бар
plánu,планувати
manželstvo,одруження
našim,наш
nohu,нога
tvojmu,твоя
chodil,він ходив
rozprávali,вони розмовляли
chorá,хворий
chvíli,деякий час
druhom,другий
pohovoriť,розмовляти
skutočná,справжній
nejdeš,ти не йдеш
emma,Емма
netreba,немає потреби
polož,положення
šerif,шериф
spievať,співати
ospravedlniť,вибачити
obchode,магазин
väčší,більший
vyšetrovanie,розслідування
našou,наш
priznať,визнати
srdci,серце
vyzeral,він подивився
počítač,комп'ютер
nehovorím,я не розмовляю
miestnosť,кімната
poznať,знати
riť,дупа
čierny,чорний
používať,використовувати
nielen,не тільки
ženatý,одружений
priviedol,принесли
dočkať,чекати
dovtedy,до тих пір
dobro,добре
cítite,ви відчуваєте
porozprávame,ми поговоримо
učiteľ,викладач
vašim,твоя
pochybujem,Сумніваюся
zničil,зруйновано
čakajú,вони чекають
zábavné,веселощі
vyzeralo,це виглядало
strávil,витрачено
koláč,торт
au,ой
čiže,тобто
chlapíka,хлопець
armáda,армії
jednotky,одиниць
pitie,пити
hviezda,зірка
opatrný,обережний
baviť,веселитися
pozerám,Я спостерігаю
poznáme,ми знаємо
gule,м'ячі
záležitosť,справа
zoberte,забрати це
doby,разів
sadnite,сісти
nejakej,якийсь
este,так
chuck,Чак
vašou,твоя
prestal,зупинився
tvári,обличчя
skurvený,облажався
akonáhle,як тільки
nepovieš,ти не кажи
vzdať,здаватися
svetlá,вогні
berie,приймає
go,йти
riadne,належним чином
silná,сильний
ľutujem,мені шкода
bytu,квартира
kameň,камінь
viesť,привести
vysoko,висока
pomohla,вона допомогла
potrebovala,вона потребувала
chýbať,сумувати
spomínaš,ти пам'ятаєш
uvedomil,він зрозумів
byte,квартири
krk,шия
bomba,бомба
všimol,помітили
odpovede,відповіді
matke,мати
mojimi,моя
náhoda,збіг обставин
presvedčiť,переконати
akého,який вид
samé,те саме
dohoda,угода
zostáva,залишається
bohužiaľ,на жаль
vidí,він бачить
ochranu,захисту
nejak,якось
krajina,країна
rozkazy,замовлення
kelly,Келлі
is,є
dokázali,вони довели
zariadenie,пристрій
pustiť,відпустити
prsty,пальці
výsosť,висота
nejakých,деякі
park,парк
priateľku,подруга
nervózny,нервовий
kopu,пучок
strieľať,стріляти
sean,Шон
jenny,Дженні
sto,сто
pánom,пан
väčšie,більший
hoteli,готель
oddelenie,відділ
kvety,квіти
ooh,ох
písať,писати
žijem,я живу
chápete,ти розумієш
čudné,дивно
veľkého,великий
pardon,вибачте
veličenstvo,величність
pohár,чашка
objavil,виявлено
mier,спокій
trápi,набридає
roka,року
dave,натовп
nezabil,він не вбивав
zlatíčko,кохана
sleduj,слідувати
uistiť,запевняти
ponuku,пропозиція
prichádzajú,вони приходять
uvidíte,ти побачиш
vrátane,в тому числі
pracovala,вона працювала
nemalo,не довелося
prdele,лайно
rukami,руками
elena,Олена
panebože,Боже мій
zmenila,вона змінилася
mm,мм
unavená,втомився
pošlem,Відправлю
pomáha,це допомагає
nádherná,красива
pýtať,запитати
žijú,вони живуть
duše,душі
deväť,дев'ять
plus,плюс
takých,такий
telá,тіла
justin,Джастін
partner,партнер
česť,честь
najväčší,найбільший
emily,Емілі
skupiny,групи
rozhodnúť,вирішувати
narodil,народився
nehýb,не рухайся
totálne,повністю
testy,тести
míľ,миль
posteľ,ліжко
smrťou,смертю
zomreli,вони померли
paráda,чудово
brácho,братан
platiť,платити
dúfal,він сподівався
pôjdete,ти підеш
zázrak,диво
tele,теля
pohnúť,рухатися
nejakým,деякі
meč,меч
brian,Браян
nepríde,він не прийде
znamenie,знак
nerád,мені це не подобається
luke,луки
dcéry,дочки
nesmie,не повинен
agentka,агент
hviezdy,зірки
oficiálne,офіційно
milión,мільйон
vravíš,ти кажеш
pokým,поки
pridať,додати
lucy,Люсі
zabijú,вони вбивають
jeff,Джефф
počúvam,я слухаю
jedine,тільки
základe,основа
zaplatil,він заплатив
správnu,правильно
prídeme,ми приїдемо
thomas,Томас
major,майор
najlepších,найкращий
zodpovedný,відповідальний
priestor,простір
ou,ой
autá,автомобілі
síce,хоча
najhoršie,найгірший
situáciu,ситуація
vyzeráte,ти дивишся
okolí,оточення
ľudské,людини
cíti,відчуває
gay,гей
končí,закінчується
dverami,двері
velmi,дуже
nemyslela,вона не думала
ktorými,за допомогою якого
zjavne,мабуть
šialený,божевільний
nových,нові
kľudne,спокійно
noviny,газета
prijať,приймати
stál,стояв
princezná,принцеса
biely,білий
dostanú,вони отримають
zostanem,Я залишусь
používa,використовує
nájdete,ви знайдете
hodinky,годинник
autom,на автомобілі
rany,рани
rad,рядок
sadnúť,сісти
pozeráš,ти дивишся
snažíme,ми стараємось
známy,відомий
nohavice,штани
uvidí,побачить
opitý,п'яний
ryby,риба
dostaň,отримати це
zmenilo,змінено
á,так
charles,Чарльз
veľkým,великий
viacej,більше
santa,Санта
zavolala,— покликала вона
hlúpa,дурний
nic,нічого
srdiečko,маленьке серце
triedy,клас
mŕtveho,мертвий
chloe,Хлоя
nerobte,не роби
necháš,ви дозволяєте
existujú,вони існують
snažia,вони намагаються
návštevu,візит
príkaz,команда
ted,тепер
proces,процес
lady,леді
peklo,пекло
reč,мова
vojaci,солдатів
mora,море
vyhodiť,викидати
podarí,вдасться
mm-hmm,мм-хм
tohoto,це
rodinou,родина
ulice,вулиці
energiu,енергії
dajú,вони дають
odpovedať,відповідати
pozeral,спостерігав
house,будинок
vzťahu,відносини
prípadu,справа
amerike,Америка
využiť,скористатися
takým,такий
nazdar,привіт
sexi,сексуальний
deťmi,дітьми
b,b
vietor,вітер
najmenej,найменше
pamätáte,ти пам'ятаєш
blíži,наближається
street,вулиця
predo,раніше
karty,картки
trest,покарання
stráviť,витрачати
prvého,перший
zabi,вбити
chyby,помилки
trik,трюк
your,ваш
zranený,поранений
odtlačky,відбитки пальців
útoku,напад
pomohli,вони допомогли
papiere,документи
ďalšieho,ще один
hlavný,основний
zmenili,вони змінилися
pravá,правильний
naraz,одразу
stali,вони стали
inej,інший
novej,новий
tanec,танець
naštvaný,злий
leto,літо
we,ми
príď,давай
louis,Луїс
ducha,дух
krajinu,країна
prines,принести
dostatočne,досить
voláte,ти дзвониш
ukázalo,показав
úsmev,усмішка
zozname,список
napraviť,виправити
lístky,квитки
priniesla,вона принесла
pravidlo,правило
poschodí,поверх
alice,Аліса
susan,Сьюзен
začnem,Я почну
ospravedlnenie,вибачення
vytvoriť,створювати
pracovali,вони працювали
rozum,причина
skúste,спробуйте
kopec,пагорб
riešenie,рішення
skončilo,все закінчилось
projekt,демонструвати
opraviť,виправити
koňa,кінь
veru,правда
priateľmi,друзі
sudca,суддя
mna,мене
slnka,сонце
trápne,незручно
pamätaj,запам'ятати
telefóne,телефон
obrovské,величезний
minútku,хвилину
reči,мова
čakala,вона чекала
uhm,хм
slov,слова
omnoho,багато
zomriem,Я помру
vesmíru,простір
snažili,вони намагалися
zmena,змінити
zdalo,здавалося
voľný,безкоштовно
dieťaťa,дитини
hre,гра
all,все
držal,проведено
bar,бар
braček,маленький брат
andy,анди
spí,він спить
normálny,нормально
william,Вільям
spoznal,він визнав
denne,щодня
skúsim,Я спробую
prežil,вижили
obrovský,величезний
prácou,по роботі
osamote,поодинці
predstavu,ідея
zmizni,зникнути
nerobím,я ні
odvahu,мужність
love,кохання
ukáže,покаже
nechceli,вони не хотіли
dýchať,дихати
hotel,готель
ktorému,до якого
nenechám,Я не дозволю
článok,стаття
zdroj,джерело
planéte,планета
planéty,планети
silné,сильний
lisa,Ліза
spal,він спав
rôzne,різні
potrebovali,вони потребували
pravé,правильно
východ,ВИХІД
kdekoľvek,де завгодно
nemusel,йому не довелося
žiješ,ти живеш
očiach,очі
utiekol,втік
potešením,задоволення
väčšinu,більшість
ib,ib
spraví,буде робити
nádherný,красива
synu,син
oblasť,область
suka,сука
stojte,стояти
všetku,все
nedovolím,Я не дозволю
meškám,я спізнився
dlhé,довго
necháme,давай
zaneprázdnený,зайнятий
živý,живий
mr,пан
smutné,сумний
ustúpte,крок назад
návrh,пропозиція
rôznych,різні
istí,впевнений
ochrániť,захистити
for,для
scott,Скотт
iní,інші
riskovať,ризикувати
správať,поводитися
tati,тато
dohodli,вони погодилися
veľkej,великий
vlastnej,власні
nato,після цього
princ,принц
stálo,це коштувало
jay,ура
nedostal,не отримав
vodou,водою
hľadáš,ви шукаєте
dík,дякую
dočerta,до біса
hranice,кордонів
lese,ліс
podporu,підтримка
právnika,адвокат
banky,банки
majetok,власність
mamy,мами
starší,старший
pozval,запрошені
sľub,обіцянку
dôležitý,важливо
stanici,станція
premýšľal,— думав він
systému,система
spravíš,ви зробите
stefan,стефан
ed,вид
situácii,ситуація
inšpektor,інспектор
predstav,уявіть собі
van,фургон
spadol,впав
h,ч
šťastné,щасливий
chyť,зловити
vojakov,солдатів
štýl,стиль
spoznať,познайомитися
spomenúť,згадувати
chlapom,хлопець
otoč,поворот
dobrých,хороші
prinesiem,Я привезу
ohľadu,незалежно від того
stanicu,станція
stovky,сотні
príbehu,історія
chytili,спійманий
zbraní,зброї
nemusíme,ми не повинні
dlhú,довгий
jackson,Джексон
pocity,почуття
pomôžeš,ти допоможеш
cena,ціна
naďalej,продовжувати
náladu,настрій
zmluvu,договір
amen,амінь
odíď,піти геть
prešla,вона пройшла
príbehy,історії
kúpila,вона купила
carl,Карл
hodiť,кинути
karen,Карен
neba,небо
cieľom,мета
pánovi,пан
vezmeme,ми візьмемо
patrick,Патрік
rána,ранок
kuchyni,кухня
zlom,перерва
tajomstvá,таємниці
mmm,хм
verí,вірить
pete,Піт
pozeraj,подивіться
joey,джої
životom,по життю
schopnosť,здатність
jerry,Джері
vode,води
plakať,плакати
zostali,вони залишилися
robin,малиновка
triede,клас
mužovi,чоловікові
nemyslíte,ти не думаєш
nepôjde,не піде
elizabeth,Єлизавета
bála,вона боялася
akej,який вид
mŕtve,мертвий
všetok,все
damon,Деймон
dobrého,добре
môžte,ви можете
červené,червоний
zvláštny,дивно
nervy,нерви
pošlite,відправити
grace,благодать
tréner,тренер
osobu,людина
nevedeli,вони не знали
oslavu,святкування
chytil,спійманий
zrovna,точно
rozpráva,він говорить
re,d
nechcú,вони не хочуть
tim,команда
milovala,вона любила
človekom,людина
klameš,ти брешеш
svetla,вогні
spojiť,підключити
lietadla,літак
strachu,страх
nájdite,знайти
simon,Саймон
vyššie,вище
jednotka,одиниця
bývať,жити
teplo,тепло
oblek,костюм
nájdu,вони знайдуть
čosi,щось
lož,брехня
polovica,половина
začni,почати
prekvapený,здивований
inom,інший
kúzlo,магія
voľno,безкоштовно
zaslúži,заслуговує
klame,він бреше
ničom,нічого
žartuješ,ви жартуєте
blbosť,нісенітниця
pokúsil,пробував
nechápeš,ти не розумієш
posaďte,сісти
ochotný,бажаючий
sobotu,Субота
správanie,поведінка
nesmieš,ви не повинні
biele,білий
slobodu,свобода
neurobila,вона цього не зробила
listy,листя
tv,телевізор
úspech,успіх
more,море
blbec,ідіот
pravdou,правда
nenašli,вони не знайшли
vezme,візьме
kone,коні
nechutné,огидний
vas,ти
zmizla,вона зникла
klubu,клуб
klamala,вона збрехала
okuliare,окуляри
predstierať,прикидатися
úžasne,чудовий
prezidenta,президент
pripomína,нагадує
rohu,куточок
young,молодий
rukou,вручну
nevidíš,ти не можеш побачити
ujsť,втеча
ovládať,КОНТРОЛЬ
odchádza,йде
známky,марки
nerobí,не робить
strom,дерево
polície,поліція
zmenu,змінити
nepoznáš,ти не знаєш
zostala,вона залишилася
voľba,вибір
autobus,автобус
kameru,камера
hank,Хенк
vírus,вірус
napísala,написала вона
tušenie,передчуття
pomáhať,допомогти
hľadajú,вони шукають
zvládneš,ти можеш це зробити
ostrov,острів
man,людина
napísané,написаний
zachránila,вона врятувала
opustila,вона пішла
týždňami,тижнів
odchádzame,ми йдемо
ukážte,шоу
hľadáte,ви шукаєте
záchod,туалет
los,лось
vsetko,все
spomenul,згадав він
zabitý,убитий
podaj,файл
cool,круто
udrel,удар
ukradnúť,красти
prejde,це пройде
význam,значення
mlieko,молоко
ponúknuť,пропонувати
prečítať,читати
operáciu,операція
minule,минулого разу
budove,будівля
utekaj,тікати
zdvihni,забрати
podozrivý,підозрілий
našťastie,на щастя
páčia,їм подобається
kartu,картку
odídem,Я піду
nedokáže,він не може
ľahšie,легше
čakali,вони чекали
hotela,готель
biznis,бізнес
anjel,ангел
lístok,квиток
tretí,третій
ncis,ncis
jed,отрута
sir,сер
urobíte,ви зробите
génius,геній
nevinný,невинний
rozmýšľal,— думав він
vydržte,тримайся
tesne,тісно
počkám,Я буду чекати
priviesť,приносити
filme,фільм
začnú,вони починають
bum,бум
dlhá,довго
nespravil,він цього не зробив
cia,ЦРУ
strata,втрата
kosti,кістки
poschodie,поверх
pondelok,понеділок
každým,всіма
úst,рот
predaj,продаж
náhle,раптово
hrozný,жахливий
doba,період
schopná,здатний
spravodlivosť,справедливість
tajné,секрет
vraveli,вони сказали
jackie,Джекі
čias,час
rýchle,швидко
se,з
bod,точка
karl,карл
duša,душа
mel,він мав
sedel,сів
zábavu,розваги
armády,армії
kretén,ривок
mnohých,багато
ťažký,важкий
nedal,він не дав
potrvá,це триватиме
nahnevaný,злий
priateľu,друг
plná,повний
vaším,твоя
inokedy,іншим разом
žijeme,ми живемо
tvárou,обличчя
klamár,брехун
zomrieš,ти помреш
molly,моллі
vyzdvihnúť,забрати
bratom,брати
tentoraz,цього разу
želám,бажаю
ostaň,залишитися
smiem,я можу
filmy,фільми
predal,продано
anglicky,англійська
zistíme,ми дізнаємось
starej,старий
miest,міст
takisto,також
pamätať,пам'ятати
tyler,Тайлер
zobrala,вона взяла
sústrediť,концентрат
chystá,збирається
poraziť,поразка
veselé,веселий
bránu,ворота
deťom,дітей
dverí,двері
vytvoril,створений
vysvetlenie,пояснення
dávajte,дати
zakaždým,кожного разу
annie,Енні
počujte,слухати
nutné,необхідно
výraz,вираз
spolupracovať,співпрацювати
zastrelil,він вистрілив
papier,папір
kamaráti,друзі
klube,клуб
žili,вони жили
štyroch,чотири
žeby,жаби
chvíle,моменти
stopu,трек
spýtal,запитав він
synom,син
zostalo,залишився
phil,Філ
niektorých,деякі
jamie,ями
pamäť,пам'ять
zlodej,злодій
josh,Джош
posaď,сісти
uši,вуха
umenie,ст
prežili,вони вижили
jason,Джейсон
jedná,діє
pozerá,спостерігає
kamera,камера
dojem,враження
prekliaty,проклятий
stačiť,досить
skúsenosti,досвід
doslova,буквально
mení,зміни
pýtaš,ви запитаєте
chrbtom,назад
nedotýkaj,не чіпай
isteže,впевнений
všetkému,до всього
dvomi,на два
skúšal,пробував
naopak,навпаки
berieš,ви берете
netráp,не хвилюйся
myšlienka,думав
nepomôže,не допоможе
teším,Я з нетерпінням чекаю цього
miestach,місць
vodca,керівник
michelle,Мішель
kúsky,штук
strana,вечірка
zmeny,зміни
boku,бік
pošli,відправити
zobuď,прокинутися
dr,доктор
frasier,Фрейзер
red,червоний
hrali,вони грали
láske,любов
dôvodov,причини
večierok,вечірка
dýchaj,дихати
lepšia,краще
stan,намет
spojených,підключений
hádaj,вгадати
ženská,жіноча
talent,талант
zjesť,їсти
akokoľvek,проте
spala,вона спала
zachránili,збережено
party,партії
požičať,позичати
nepozeraj,не дивись
ostatnými,іншими
vták,птах
centre,центр
riadiť,диск
hľadali,шукали
podobne,так само
schopní,здатний
zvedavý,допитливий
what,що
ron,Рон
stene,стіна
nikým,ніким
vypadá,виглядає як
nehovoril,він не говорив
nestačí,недостатньо
zahrať,грати
ameriky,Америка
dôležitá,важливо
sally,Саллі
končím,Я закінчив
nepovedali,вони не сказали
kričať,кричати
harvey,Харві
chodím,Я гуляю
vlády,уряд
steny,стіни
alkohol,алкоголь
sorry,вибачте
vezmeš,візьмеш
dokážeme,ми можемо
smrdí,це смердить
katie,Кеті
bojí,боїться
hotový,зроблено
kopa,багато
vtáka,птах
čierna,чорний
vpred,вперед
všakže,проте
niles,niles
jess,Джес
pohreb,похорон
vybrala,вона вибрала
julia,Юлія
dostalo,отримано
ničomu,ні до чого
nate,nate
kolená,коліна
detaily,деталі
čakáme,ми чекаємо
výskum,дослідження
šťastní,щасливий
žila,вона жила
zmiznúť,зникнути
odpovedz,відповідь
nedostane,не отримає
bombu,бомба
týždňa,тижня
sk,ск
chodili,вони йшли
naučila,вона вчила
hladná,голодний
lietať,літати
pracujeme,ми працюємо
svedok,свідок
nehovorte,не розмовляй
policajtov,поліцейські
nebojím,Я не боюся
akcie,дії
vyhrali,вони перемогли
nezdá,це не здається
štátov,держави
bonnie,Бонні
rock,рок
dofrasa,до біса
vracia,повертається
merlin,Мерлін
naším,наш
ukazuje,шоу
lord,лорд
nenapadlo,не думав про це
eh,ех
problémom,проблема
ukončiť,припинити
zlo,зло
kilometrov,кілометрів
bohom,Богом
poslednom,останній
pacient,пацієнт
nedokázal,він не міг
zbraňou,зброя
utekať,тікати
predstavenie,продуктивність
nebezpečný,небезпечний
vravia,кажуть вони
be,бути
bývalý,колишній
dokážu,вони можуть
postavil,побудований
operácia,операція
hodil,кинув
diabol,диявол
prídete,ти прийдеш
vážim,я ціную
lekár,лікар
katherine,Кетрін
he,хех
ostatným,до інших
filmu,фільм
klub,клуб
sladké,солодкий
vlastných,власні
zástupca,представник
dinozzo,діноццо
zatknutý,заарештований
nepotrebujeme,нам не потрібно
libier,фунтів
kamarátka,друг
príjemné,приємний
vybrali,вони вибрали
rozhodnutia,рішення
sever,північ
moci,потужність
hotové,зроблено
výpoveď,відставка
rick,Рік
tričko,футболка
vydať,видати
fantastické,фантастичний
nepočula,вона не чула
caroline,Кароліна
malej,маленький
svadba,весілля
takom,як то
vyskúšať,спробувати
smiech,сміх
nepotrebuješ,тобі не потрібно
rýchlosť,швидкість
vyber,вибір
dohromady,разом
nohami,ноги
strážnik,констебль
pracujete,ви працюєте
opakujem,Я повторюю
planétu,планета
hnev,гнів
tuto,цей
záležitosti,справи
skupinu,група
šance,шанси
jemu,до нього
dúfajme,будемо сподіватися
nepôjdem,Я не піду
nevráti,не повернеться
donna,Донна
povieme,ми скажемо
pozíciu,положення
vydatá,одружений
vieru,віра
odchod,відправлення
čierne,чорний
akom,як
úroveň,рівень
malých,маленькі
priprav,підготувати
dievčaťom,дівчата
neurobím,Я не буду
chutí,смаки
nepriateľ,ворог
telefonát,телефонний дзвінок
bezpečnosti,безпеки
drahé,дорогий
obyčajný,звичайний
požiadala,— запитала вона
ránko,ранок
veríte,ти віриш
vypnúť,вимкнути
pozrieme,ми побачимо
vyhodili,звільнений
žiadosť,запит
holly,падуб
súde,суди
vam,тобі
kôň,кінь
dozvedel,дізнався
porozprávam,я буду говорити
misia,місія
nemôžme,ми не можемо
potešenie,задоволення
dajme,ходімо
dokázala,вона це довела
vyjde,це виходить
zistí,з'ясовує
vína,вино
hlúposť,дурість
pravdaže,звичайно
polícii,поліція
lenže,але
získali,вони отримали
zaplatím,Я заплачу
vlastného,власні
pokračuje,продовжується
účty,облікові записи
poňatia,концепції
blair,Блер
nahlas,вголос
býval,звикли
chodíš,ти ходиш
riziko,ризик
víťazstvo,перемога
baru,бар
nazval,він закликав
pritom,одночасно
chodila,вона йшла
službu,обслуговування
zároveň,одночасно
zabudli,вони забули
pláži,пляж
chýbaš,ти пропав
preložila,— переклала вона
kiežby,бажаю
samého,себе
čeliť,до обличчя
nehovorí,він не говорить
tuším,Я здогадуюсь
rádio,радіо
pomohlo,це допомогло
poznali,вони знали
našimi,наш
klobúk,капелюх
farby,кольори
cením,я ціную
vyhodil,викинув
leo,лев
zlého,погано
dakujem,дякую
zlatý,золотий
vegas,Вегас
vysvetlím,Я поясню
prasa,свиня
spokojný,задоволений
vysoký,високий
vyzerala,вона подивилася
chýbal,був відсутній
zásoby,припаси
laura,Лаура
naštvaná,засмучений
zastavili,вони зупинилися
momente,момент
načase,вчасно
čakáš,ти чекай
čítala,вона читала
maria,Марія
čistá,чистий
pohárik,стакан
kariéru,кар'єра
letisko,АЕРОПОРТ
detektívka,детектив
dobrým,добре
noha,нога
vytiahol,витягнув
dieru,отвір
beth,Бет
šéfa,бос
nezmysel,нісенітниця
falošné,підробка
